id,timestamp,direction,src_ip,dst_ip,src_port,dst_port,protocol,src_mac,dst_mac,iface,packet_len,ip_ttl,ip_tos,tcp_flags,dns_qname,dns_answer_ip,tls_sni,ndpi_master_proto,ndpi_app_proto,ndpi_category,dst_geo_country,dst_geo_city,decision_action,decision_rule_id
7091,2025-12-07T15:07:46.881930,outbound,10.20.0.190,10.20.0.1,58934,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,71,64,,,,,,Unknown,DNS,Network,,,allow,
7092,2025-12-07T15:07:46.884478,outbound,10.20.0.1,10.20.0.190,53,58934,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,87,64,,,,,,Unknown,DNS,Network,,,allow,
7093,2025-12-07T15:07:46.888876,outbound,10.20.0.190,34.120.177.193,36466,443,tcp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,1637,64,,,,,grafana.com,Unknown,TLS,Web,US,Kansas City,allow,
7094,2025-12-07T15:07:46.894656,outbound,10.20.0.110,10.20.0.1,37735,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,68,64,,,,,,Unknown,DNS,Network,,,allow,
7095,2025-12-07T15:07:46.898716,outbound,10.20.0.1,10.20.0.110,53,37735,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,132,64,,,,,,Unknown,DNS,Network,,,allow,
7096,2025-12-07T15:07:46.905419,inbound,34.120.177.193,10.20.0.190,443,36466,tcp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,1304,123,,,,,,Unknown,TLS,Web,,,allow,
7097,2025-12-07T15:07:46.908499,outbound,10.20.0.110,151.101.128.223,51656,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1634,64,,,,,pypi.org,Unknown,TLS,Web,US,,allow,
7098,2025-12-07T15:07:46.911663,inbound,151.101.128.223,10.20.0.110,443,51656,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,57,,,,,,Unknown,TLS,Web,,,allow,
7099,2025-12-07T15:07:47.075452,outbound,10.20.0.164,18.214.194.42,55326,443,tcp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,1637,64,,,,,httpbin.org,Unknown,TLS,Web,US,Ashburn,allow,
7100,2025-12-07T15:07:47.079198,outbound,10.20.0.190,10.20.0.1,56817,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,77,64,,,,,,DNS,Microsoft,Cloud,,,allow,
7101,2025-12-07T15:07:47.082901,outbound,10.20.0.1,10.20.0.190,53,56817,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,182,64,,,,,,DNS,Microsoft,Cloud,,,allow,
7102,2025-12-07T15:07:47.133277,outbound,10.20.0.190,150.171.69.10,36434,443,tcp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,1631,64,,,,,mcr.microsoft.com,TLS,Microsoft,Cloud,US,,allow,
7103,2025-12-07T15:07:47.136632,inbound,150.171.69.10,10.20.0.190,443,36434,tcp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,153,113,,,,,,Unknown,TLS,Web,,,allow,
7104,2025-12-07T15:07:47.140911,inbound,18.214.194.42,10.20.0.164,443,55326,tcp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,1304,244,,,,,,Unknown,TLS,Web,,,allow,
7105,2025-12-07T15:07:47.143714,outbound,10.20.0.190,10.20.0.1,49233,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,82,64,,,,,,Unknown,DNS,Network,,,allow,
7106,2025-12-07T15:07:47.147785,outbound,10.20.0.1,10.20.0.190,53,49233,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,193,64,,,,,,Unknown,DNS,Network,,,allow,
7107,2025-12-07T15:07:47.152838,outbound,10.20.0.190,151.101.130.132,59684,443,tcp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,1648,64,,,,,dl-cdn.alpinelinux.org,Unknown,TLS,Web,US,,allow,
7108,2025-12-07T15:07:47.155559,inbound,151.101.130.132,10.20.0.190,443,59684,tcp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,1304,59,64,,,,,Unknown,TLS,Web,,,allow,
7109,2025-12-07T15:07:49.101575,outbound,10.20.0.110,10.20.0.1,52629,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,94,64,,,,,,Unknown,DNS,Network,,,allow,
7110,2025-12-07T15:07:49.105238,outbound,10.20.0.1,10.20.0.110,53,52629,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,157,64,,,,,,Unknown,DNS,Network,,,allow,
7111,2025-12-07T15:07:49.108534,outbound,10.20.0.110,10.20.0.1,60948,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,93,64,,,,,,Unknown,DNS,Network,,,allow,
7112,2025-12-07T15:07:49.118403,outbound,10.20.0.1,10.20.0.110,53,60948,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,156,64,,,,,,Unknown,DNS,Network,,,allow,
7113,2025-12-07T15:07:49.122249,outbound,10.20.0.110,10.20.0.1,49199,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,108,64,,,,,,Unknown,DNS,Network,,,allow,
7114,2025-12-07T15:07:49.126142,outbound,10.20.0.1,10.20.0.110,53,49199,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,172,64,,,,,,Unknown,DNS,Network,,,allow,
7115,2025-12-07T15:07:49.517070,outbound,10.20.0.110,10.20.0.1,57391,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,71,64,,,,,,Unknown,DNS,Network,,,allow,
7116,2025-12-07T15:07:49.521270,outbound,10.20.0.1,10.20.0.110,53,57391,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,167,64,,,,,,Unknown,DNS,Network,,,allow,
7117,2025-12-07T15:07:49.525385,outbound,10.20.0.190,10.20.0.1,55072,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,97,64,,,,,,Unknown,DNS,Network,,,allow,
7118,2025-12-07T15:07:49.529205,outbound,10.20.0.1,10.20.0.190,53,55072,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,160,64,,,,,,Unknown,DNS,Network,,,allow,
7119,2025-12-07T15:07:49.533121,outbound,10.20.0.110,52.205.123.206,53378,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1637,64,,,,,httpbin.org,TLS,AmazonAWS,Cloud,US,Ashburn,allow,
7120,2025-12-07T15:07:49.537016,outbound,10.20.0.190,10.20.0.1,32914,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,98,64,,,,,,Unknown,DNS,Network,,,allow,
7121,2025-12-07T15:07:49.551265,outbound,10.20.0.1,10.20.0.190,53,32914,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,161,64,,,,,,Unknown,DNS,Network,,,allow,
7122,2025-12-07T15:07:49.554840,outbound,10.20.0.190,10.20.0.1,37966,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,104,64,,,,,,Unknown,DNS,Network,,,allow,
7123,2025-12-07T15:07:49.557328,outbound,10.20.0.1,10.20.0.190,53,37966,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,168,64,,,,,,Unknown,DNS,Network,,,allow,
7124,2025-12-07T15:07:49.559680,outbound,10.20.0.190,10.20.0.1,36737,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,73,64,,,,,,Unknown,DNS,Network,,,allow,
7125,2025-12-07T15:07:49.562511,inbound,52.205.123.206,10.20.0.110,443,53378,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,244,,,,,,TLS,AmazonAWS,Cloud,,,allow,
7126,2025-12-07T15:07:49.565208,outbound,10.20.0.1,10.20.0.190,53,36737,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,105,64,,,,,,Unknown,DNS,Network,,,allow,
7127,2025-12-07T15:07:49.568659,outbound,10.20.0.190,3.33.186.135,51740,443,tcp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,1639,64,,,,,kubernetes.io,Unknown,TLS,Web,US,,allow,
7128,2025-12-07T15:07:49.573146,inbound,3.33.186.135,10.20.0.190,443,51740,tcp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,1304,249,64,,,,,Unknown,TLS,Web,,,allow,
7129,2025-12-07T15:07:49.874074,outbound,10.20.0.190,10.20.0.1,58645,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,67,64,,,,,,Unknown,DNS,Network,,,allow,
